"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Antigua and Barbuda","ATG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","-12.3876177349394","-2.50343273731404","-17.8767937486567","-14.3040794806345","-22.1182460624186","-25.3088629916689","-4.99604403594956","0.287945379960814","-9.58808881733991","-40.7261826367235","-33.0051854620764","-11.2977353708031","-18.607365511879","-6.7436933046314","-6.41930987459625","-1.9769162939518","2.81321400876769","-1.07637019317923","-0.0898208587130723","-9.37949626570513","-6.96045886897196","-6.42573191162573","-7.88645077230935","-8.04344318425118","-7.10527716783548","-10.1159872139607","-11.4018669691119","-10.3418597831379","-16.7769846660216","-25.2171143149332","-29.3971454510803","-26.246946881963","-13.8063634934331","-14.4999132779814","-10.3054714587332","-13.770814130658","-17.1343444962844","2.01284807617505","6.79999942065056","0.151002931433515","",
"Australia","AUS","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.12730044216757","-4.99693571923688","-3.25369387689656","-3.17451511941202","-2.98191258824991","-4.92333459788692","-5.08398868628855","-3.59846216931477","-2.74076607343498","-4.45739929189716","-5.61173557462222","-3.73156546514927","-2.1117450524118","-4.05646992757438","-6.28523800457243","-6.74728940899086","-6.25762826697956","-6.07877452278324","-7.53119841471054","-4.95177935554145","-5.27805068548422","-3.90769796051107","-3.18667204907369","-4.17794803241617","-3.04204338999889","-2.88863935866646","-4.30418130493737","-3.0649706771962","-2.4673479583809",
"Austria","AUT","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.97644094563285","3.27214349013809","3.79499453204741","4.48671412576835","2.57329391345323","2.92897814876409","1.5760012271108","1.50046815754078","1.9479896101715","2.39541709844531","1.9336453032009","2.12156132441771","1.85045221394071",
"Azerbaijan","AZE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.1254467759284","-29.312414236782","-23.1093106057728","-30.6882457885523","-13.0904580061879","-3.18196815285284","-0.906754298668071","-12.321973175817","-27.7741943440845","-29.8280202935418","1.26316311439409","17.6695773383406","27.2883243190353","33.678544063861","22.9725301709198","28.4303731948664","25.9962274288622","21.491304729494","16.4927257167165","13.5675443544848","-0.41921363920559","-3.60045769447184","4.13411109530036",
"Burundi","BDI","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","-3.59026812582895","-3.00942472812131","-8.41652238216762","-6.47258561238188","-1.03144329893231","-6.13410034398202","-2.85038738673383","-5.50382096415844","-2.99542008499923","-1.82525676729153","1.04416596056391","-4.60400356055959","0.630045184343134","-5.44160379280805","-2.61184612113877","-5.76258887448881","-4.18720201167941","-0.397990077144825","-3.04630146043229","-3.53655815425186","-0.510013256366986","-10.4886467340881","-8.20800913011198","-16.0927464207857","-9.26441555340614","-14.8496364075134","-12.0384188829793","-10.5629688880996","-9.52030726656518","-12.7103331152086","-12.1717232072862","-11.7997421431465","",
"Belgium","BEL","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.48556121405787","3.3824407006904","3.08061215180948","1.98846364988206","1.84111193875176","1.49237012665178","-0.826323409377237","-1.08166251269562","1.649748330691","-1.0410989876227","-0.0471428133458669","-0.302386274440705","-0.87947361399323","-0.15168360628304","0.104266720551604","-0.160423604290429",
"Benin","BEN","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","-5.27758651405042","-7.88628294719232","-9.28064262566191","-7.55459383219656","-9.72524025636972","-4.37113746687234","-2.5420576892276","-7.23139294704359","-29.7501244086821","-12.3059404856611","-5.42956701524047","-3.72498945939993","-3.95504625740743","-2.19467545561387","-6.51092368709819","-0.893468996044377","-0.925585973242121","-10.893080681888","-4.28904687368759","-2.58299689570664","0.660280512491468","-7.69564306864425","-1.7345747752923","-6.78725067575079","-5.39740012815666","-5.78397409731434","-3.13650787559773","-2.79555501960946","-5.11348940516087","-8.480812204075","-6.38057009610549","-4.70646816301719","-4.2199411623488","-8.94638270881773","-7.51488756834028","-9.14353085460341","-7.60859708473868","-6.6055430333693","-7.07715526502676","-7.35119946048064","-9.11584710304215","-8.97892542321177","-9.43344644420728","",
"Burkina Faso","BFA","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6117648447844","-9.34359766220884","-8.27015235049565","-11.5074638193876","-4.5409321530884","-2.02058598020656","-1.4936776304502","-1.45353671457541","-11.259242743613","-8.06006317804041","-8.58716313837773","-6.809467013308","",
"Bangladesh","BGD","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","-2.73115105375932","-2.91113742780808","-2.89047855609156","-2.67224064450434","-3.8710788966539","-5.0204218554513","-2.70261503542757","-0.260095325762879","-2.52446691018841","-2.04311325466852","-2.87122454357184","-0.975865069282383","-1.02651167385888","-3.82036362164056","-1.25927362344054","0.208651431216538","0.570158867838374","1.08321175697211","0.590988260289111","-2.17154889891301","-2.13490813503246","-0.59346471814869","-0.0703537046583936","-0.710651968609125","-0.573042663299641","-0.991687231894648","1.35086830489484","0.218816448007947","-0.428022753319864","0.731114940933614","1.66538337953829","1.07621192542407","1.01077432985677","3.47014347494473","1.82904182016697","-0.125812447167656","1.93130081800403","1.37240298059038","0.437162722543549","1.32234911379617","0.419279092130378","-2.54873892383605",
"Bulgaria","BGR","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","4.80865418169129","0.613990941117262","0.91510702099059","0.217343180857701","3.04064614519954","-0.792752329323553","-4.69646000732052","-2.56218639906053","-1.78223553987341","-3.49729150664996","-8.28805964230479","-0.702697126013265","-3.47712151394422","-10.146162596186","-0.327922374429224","-0.197498012216043","0.155297748123436","3.81310102549668","-0.423159665472401","-4.832369524546","-5.34999484134573","-5.71661098351714","-1.96012585731193","-4.87142183644959","-6.4378079649407","-11.2934575320803","-17.179052307269","-25.7523668213886","-21.825993230569","-8.20347122522432","-1.90598476688248","0.474569007788606","-0.980687124879937","1.21710036620942","0.176884328558976","-0.0414549227571459","2.33433346896151","4.62419459987773",
