"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Botswana","BWA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","628000","950000","1644000","2455000","3277000","7067000","4283000","5879000","8188000","9277000","14141000","9753000","14496000","25131000","32573000","47553000","45487000","72918000","76350000","72628000","105285000","88354000","96670000","89298000","91894000","91399000","151132000","103177000","76257000","74024000","68699000","51926000","60677000","50379000","48595000","53542000","56344000","47222000","69684000","46702000","79549000","79408000","59192000","193881000","64987000","246933000","166030000","",
"Central African Republic","CAF","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","3131843.5","2332956.9","1818743.9","4832808.5","4852696.9","5852099.3","4321683.5","4328792.9","5248314.8","3754287.2","9990508.6","10797460","8639694.5","20832875.6","24723545.4","26234880","28409417","28060601.3","27012330.3","33578663.1","29117739","15108121.7","15496246.9","9241664.1","23152474.1","15681300","12915696.3","15593469.2","33247649.1","19050923.6","14636548.9","13540746.9","1172586.1","808564.7","10748052.1","6878445.1","71344027.9","89845392.7","25803032.6","31380646.1","2560972.6","1366618.2","4385130.2","6634446.4","15499396.6","17827988.5","24982987.1","",
"Canada","CAN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","1743639000","2124830000","2691391000","2286328000","2481847000","2976561000","3851627000","4564680000","5650232000","7056976000","8305081000","8617924000","10166162000","11135360000","15065727000","15755648000","18444698000","18434872000","26581792000","26609922000","24999384000","31091573000","37515660000","23263975000","27468896000","27498399000","31823399000","33259390000","39803903000","51992227000","62652739000","72071196000","76957825000","81197088000","126418070000","127363321000","",
"Cote d'Ivoire","CIV","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","42572000","47664000","60985000","75585000","123880000","142271000","225105000","303692000","472772000","662160000","1407100000","1532784000","1539816000","1267484000","1138805000","1114203000","1320864000","1368247000","1074862000","1076041000","1261900000","1279548000","1159594000","1093857000","1244179000","1046132000","1374698000","1166670000","1383487000","1451118000","1022454000","619327000","830942000","570892000","391860000","307094000","270033000","431245000","1047994000","1133069000","751409000","730969000","720156000","1053145000","1002723000","808070000","1549235000","",
"Cameroon","CMR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","11331000","15393000","18541000","29955000","31604000","44942000","48143000","67683000","126051000","177896000","279596000","303577000","387177000","349544000","416218000","653804000","674043000","650268000","674330000","405596000","516355000","420212000","393532000","470593000","384466000","431194000","509209000","509604000","520927000","549534000","559663000","342614000","350012000","436592000","608601000","818874000","494225000","486128000","437900000","402289000","202584000","331985000","237483000","208177000","437142000","433348000","818619000","",
"Congo, Dem. Rep.","COD","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","34345000","37905000","61341000","97790000","187423000","152015000","115034000","123964000","155371000","220240000","542519000","401391000","222109000","247235000","414842000","498224000","455020000","470360000","391920000","609012000","348144000","177424000","77390000","27511000","15686000","24968000","48414000","12520000","19340000","25096000","29746000","20219000","928941000","148226000","133537000","217924000","289785000","501183000","592878000","625143000","275030000","256010000","279053000","400980000","408061000","389032000","435052000","",
"Congo, Rep.","COG","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","8823000","8643000","7693000","12085000","18418000","29212000","23347000","37578000","20430000","75908000","108855000","240998000","240976000","332345000","361119000","422678000","362408000","452320000","434401000","351309000","519469000","321939000","185028000","158291000","556407000","186559000","364275000","135769000","45700000","26719000","45043000","93998000","29829000","64941000","212233000","112371000","87668000","108367000","167371000","178588000","141162000","136533000","168758000","302800000","303735000","226323000","150194000","",
"Colombia","COL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","290332000","277730000","336661000","366560000","429120000","329649000","390286000","395844000","496074000","720426000","972549000","1144942000","1515101000","1622633000","1647144000","1987681000","2253732000","2817394000","3335605000","3934901000","3890816000","3778000000","4012177000","3722335000","5569534000","4363041000","5418639000","4531660000","4537540000","6626709000","5133109000","6324454000","6841396000","8619693000","7697735000","10256480000","10357087000","8591142000","7965345000","8823072000","9771054000","10242212000","15240681000","9931580000","14851082000","13948178000","13421424000","",
"Comoros","COM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","63000","58000","75000","120000","156000","524000","528000","922000","185000","248000","404000","796000","878000","1508000","2791000","2180000","2173000","1629000","1033000","1529000","1109000","8137000","5681000","2171000","2791000","965000","1429000","2731000","2388000","3615000","3258000","2845000","4741000","3055000","3307000","4032000","3771000","26174000","12344000","11865000","4301000","3940000","11916000","467000","592000","7196000","6305000","",
"Cabo Verde","CPV","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","306000","1457000","2955000","5238000","5140000","4908000","8278000","8240000","6587000","5745000","7959000","10629000","6665000","9374000","9758000","8025000","14680000","19650000","20355000","16164000","13707000","22902000","19046000","24044000","35721000","31580000","29489000","31354000","33604000","35767000","39385000","36006000","39615000","43306000","42308000","44163000","",
"Costa Rica","CRI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","62089000","61906000","71792000","85127000","113899000","148363000","177913000","220706000","422082000","400953000","370453000","344500000","261943000","721526000","439824000","549259000","525569000","347552000","420756000","356095000","513566000","428229000","554133000","560951000","518396000","660334000","607009000","576244000","555032000","562123000","651594000","696962000","673944000","826327000","907361000","837442000","784473000","900540000","1571896000","1253793000","997421000","1624090000","2288064000","3286977000","3464342000","2767218000","2829275000","",
"Caribbean small states","CSS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Czech Republic","CZE","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","135000","201000","258000","433000","471000","856000","1421000","1569000","1747000","2139000","3137000","3151000","3261000","4231000","4314000","4074000","7273000","12730000","13463000","11520000","11038000","10418000","10056000","8509000","10724000","11146000","11629000","6792000","5053000","9665000","15083000","12244000","13298000","16101000","19628000","17740000","26173000","27364000","33505000","36314000","35701000","39473000","43087000","42562000","39103000","45110000","59677000","",
"Dominica","DMA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","606000","920000","2098000","4107000","4323000","5189000","8187000","7056000","7144000","6200000","6155000","6066000","7512000","7781000","7027000","7032000","11037000","10912000","11127000","11007000","17734000","12905000","15913000","18083000","17466000","20214000","20768000","20258000","21903000","16577000","17750000","20796000","19716000","20307000","23269000","26772000","",
"Denmark","DNK","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","46361000","51842000","58129000","82605000","71572000","112361000","112575000","144558000","171614000","327240000","383584000","400979000","400727000","377759000","270699000","308836000","381078000","312785000","345430000","329750000","238881000","273118000","354525000","331667000","511324000","416215000","455340000","463322000","382867000","387247000","529253000","630022000","679572000","892394000","795186000","732369000","1410378000","1560799000","1506916000","1406165000","1423773000","1602474000","2594083000","2841975000","3220355000","5227303000","3899341000","",
"Algeria","DZA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","44704000","69115000","190023000","301568000","711331000","469067000","787339000","1172243000","1689926000","3053045000","4084099000","4316883000","4563461000","4723125000","5117048000","5002360000","5165999000","5455563000","6550607000","7007435000","8808454000","9171738000","9332492000","9095702000","5116617000","4250453000","4213921000","4418039000","5131183000","5202604000","4476013000","4384092000","4173451000","4306953000","5740137000","5987036000","13424902000","1368505000","1251623000","1055375000","676201000","639343000","864809000","538986000","294769000","691081000","352981000","",
"East Asia & Pacific (excluding high income)","EAP","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","774159000","928358000","1108920000","1719946000","1856273000","2259034000","2863847000","4260016000","6703833000","7141725000","8149800000","11608980000","13381439000","14060029000","15858592000","20147513000","19800729000","22816697000","27782179000","28513029000","31118656000","31867894000","36607656000","41936718000","45573225000","52871654000","61812817000","63332129000","61928704000","73156802000","72590567000","78079854000","87587178000","92417402000","78692484000","86215634000","92575644000","97114405000","90939539000","98990531000","114921732000","126592869000","143681625000","157983960000","187289234000","233678674000","244986994000","",
"Early-demographic dividend","EAR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","710795000","875798000","1232171000","1362733000","1549011000","1840552000","2091630000","2834791000","3565404000","4797940000","6874831000","8253153000","10115599000","8963877000","10292617000","11211179000","12021808000","14199256000","17752049000","15421445000","13593593000","12523239000","13281999000","11854843000","16056615000","21909708000","26620116000","26694778000","34404403000","42136570000","46350624000","51858881000","56634409000","67392604000","77252285000","117160303000","131727270000","152351228000","223375167000","235531167000","217650774000","203001155000","205662184000","242969211000","252867961000","240331321000","234703032000","",
"Europe & Central Asia","ECS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","47310000","57201000","61499000","94233000","123624000","101253000","158839000","204034000","344300000","1127941000","1016322000","1404865000","2152260000","802743000","1128152000","1106553000","1160387000","845133000","1066715000","1036355000","1091623000","1112747000","983736000","918835000","997533000","1629513000","1510711000","2088976000","1952972000","2420532000","2189661000","2226966000","2644233000","2500819000","3991843000","4334938000","4451887000","3919657000","2472918000","7945058000","1787464000","2387167000","2623050000","3124409000","3995706000","5013022000","5280623000","",
"Egypt, Arab Rep.","EGY","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","270261000","224709000","364075000","441830000","301600000","305440000","266764000","498185000","583018000","518511000","1235179000","1551393000","1714212000","2079127000","2421434000","2814808000","2703423000","1661292000","2488293000","2929877000","3073547000","2612265000","2679930000","2202753000","2225765000","2380859000","2328336000","2112563000","1896656000","2129581000","1840017000","1987625000","2078463000","2683102000","2172125000","2284852000","2485323000","2891309000","3290252000","2965317000","3029192000","3702393000","3190323000","3401073000","5926654000","3780846000","6573485000","",
"Euro area","EMU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
